date,ConfirmedCases
2020-01-22,1
2020-01-23,9
2020-01-24,15
2020-01-25,39
2020-01-26,60
2020-01-27,70
2020-01-28,106
2020-01-29,152
2020-01-30,200
2020-01-31,237
2020-02-01,297
2020-02-02,340
2020-02-03,408
2020-02-04,480
2020-02-05,530
2020-02-06,591
2020-02-07,665
2020-02-08,733
2020-02-09,779
2020-02-10,830
2020-02-11,860
2020-02-12,889
2020-02-13,910
2020-02-14,934
2020-02-15,950
2020-02-16,962
2020-02-17,973
2020-02-18,982
2020-02-19,986
2020-02-20,987
2020-02-21,988
2020-02-22,989
2020-02-23,989
2020-02-24,989
2020-02-25,989
2020-02-26,989
2020-02-27,989
2020-02-28,990
2020-02-29,990
2020-03-01,990
2020-03-02,990
2020-03-03,990
2020-03-04,990
2020-03-05,990
2020-03-06,990
2020-03-07,990
2020-03-08,990
2020-03-09,990
2020-03-10,990
2020-03-11,990
2020-03-12,990
2020-03-13,990
2020-03-14,990
2020-03-15,990
2020-03-16,990
2020-03-17,990
2020-03-18,990
2020-03-19,990
2020-03-20,990
2020-03-21,990
2020-03-22,990
2020-03-23,990
2020-03-24,990
2020-03-25,990
2020-03-26,990
2020-03-27,990
2020-03-28,990
2020-03-29,990
2020-03-30,990
2020-03-31,990
2020-04-01,990
2020-04-02,990
2020-04-03,990
2020-04-04,990
2020-04-05,990
2020-04-06,990
2020-04-07,990
2020-04-08,990
2020-04-09,991
2020-04-10,991
2020-04-11,991
2020-04-12,991
2020-04-13,991
2020-04-14,991
2020-04-15,991
2020-04-16,991
2020-04-17,991
2020-04-18,991
