date,ConfirmedCases
2020-01-22,14
2020-01-23,22
2020-01-24,36
2020-01-25,41
2020-01-26,68
2020-01-27,80
2020-01-28,91
2020-01-29,111
2020-01-30,114
2020-01-31,139
2020-02-01,168
2020-02-02,191
2020-02-03,212
2020-02-04,228
2020-02-05,253
2020-02-06,274
2020-02-07,297
2020-02-08,315
2020-02-09,326
2020-02-10,337
2020-02-11,342
2020-02-12,352
2020-02-13,366
2020-02-14,372
2020-02-15,375
2020-02-16,380
2020-02-17,381
2020-02-18,387
2020-02-19,393
2020-02-20,395
2020-02-21,396
2020-02-22,399
2020-02-23,399
2020-02-24,399
2020-02-25,400
2020-02-26,400
2020-02-27,410
2020-02-28,410
2020-02-29,411
2020-03-01,413
2020-03-02,414
2020-03-03,414
2020-03-04,418
2020-03-05,418
2020-03-06,422
2020-03-07,426
2020-03-08,428
2020-03-09,428
2020-03-10,429
2020-03-11,435
2020-03-12,435
2020-03-13,436
2020-03-14,437
2020-03-15,442
2020-03-16,452
2020-03-17,456
2020-03-18,469
2020-03-19,480
2020-03-20,491
2020-03-21,504
2020-03-22,522
2020-03-23,537
2020-03-24,558
2020-03-25,561
2020-03-26,566
2020-03-27,569
2020-03-28,573
2020-03-29,577
2020-03-30,577
2020-03-31,580
2020-04-01,580
2020-04-02,582
2020-04-03,584
2020-04-04,585
2020-04-05,586
2020-04-06,587
2020-04-07,587
2020-04-08,588
2020-04-09,588
2020-04-10,588
2020-04-11,589
2020-04-12,589
2020-04-13,589
2020-04-14,589
2020-04-15,590
2020-04-16,593
2020-04-17,593
2020-04-18,593
