date,ConfirmedCases
2020-01-22,6
2020-01-23,9
2020-01-24,27
2020-01-25,57
2020-01-26,75
2020-01-27,110
2020-01-28,132
2020-01-29,147
2020-01-30,182
2020-01-31,211
2020-02-01,247
2020-02-02,300
2020-02-03,337
2020-02-04,366
2020-02-05,389
2020-02-06,411
2020-02-07,426
2020-02-08,428
2020-02-09,468
2020-02-10,486
2020-02-11,505
2020-02-12,518
2020-02-13,529
2020-02-14,537
2020-02-15,544
2020-02-16,551
2020-02-17,553
2020-02-18,555
2020-02-19,560
2020-02-20,567
2020-02-21,572
2020-02-22,573
2020-02-23,575
2020-02-24,576
2020-02-25,576
2020-02-26,576
2020-02-27,576
2020-02-28,576
2020-02-29,576
2020-03-01,576
2020-03-02,576
2020-03-03,576
2020-03-04,576
2020-03-05,576
2020-03-06,576
2020-03-07,576
2020-03-08,576
2020-03-09,576
2020-03-10,576
2020-03-11,576
2020-03-12,576
2020-03-13,576
2020-03-14,576
2020-03-15,576
2020-03-16,576
2020-03-17,576
2020-03-18,576
2020-03-19,576
2020-03-20,576
2020-03-21,576
2020-03-22,577
2020-03-23,578
2020-03-24,578
2020-03-25,578
2020-03-26,578
2020-03-27,578
2020-03-28,578
2020-03-29,579
2020-03-30,579
2020-03-31,579
2020-04-01,579
2020-04-02,579
2020-04-03,579
2020-04-04,579
2020-04-05,579
2020-04-06,579
2020-04-07,579
2020-04-08,579
2020-04-09,579
2020-04-10,579
2020-04-11,579
2020-04-12,579
2020-04-13,579
2020-04-14,579
2020-04-15,579
2020-04-16,579
2020-04-17,579
2020-04-18,579
