date,ConfirmedCases
2020-01-22,1
2020-01-23,5
2020-01-24,10
2020-01-25,18
2020-01-26,35
2020-01-27,59
2020-01-28,80
2020-01-29,84
2020-01-30,101
2020-01-31,120
2020-02-01,144
2020-02-02,159
2020-02-03,179
2020-02-04,194
2020-02-05,205
2020-02-06,215
2020-02-07,224
2020-02-08,239
2020-02-09,250
2020-02-10,261
2020-02-11,267
2020-02-12,272
2020-02-13,279
2020-02-14,281
2020-02-15,285
2020-02-16,287
2020-02-17,290
2020-02-18,292
2020-02-19,293
2020-02-20,293
2020-02-21,293
2020-02-22,293
2020-02-23,293
2020-02-24,293
2020-02-25,294
2020-02-26,294
2020-02-27,296
2020-02-28,296
2020-02-29,296
2020-03-01,296
2020-03-02,296
2020-03-03,296
2020-03-04,296
2020-03-05,296
2020-03-06,296
2020-03-07,296
2020-03-08,296
2020-03-09,296
2020-03-10,296
2020-03-11,296
2020-03-12,296
2020-03-13,296
2020-03-14,296
2020-03-15,296
2020-03-16,296
2020-03-17,296
2020-03-18,296
2020-03-19,296
2020-03-20,299
2020-03-21,303
2020-03-22,313
2020-03-23,313
2020-03-24,318
2020-03-25,322
2020-03-26,328
2020-03-27,331
2020-03-28,337
2020-03-29,338
2020-03-30,340
2020-03-31,343
2020-04-01,345
2020-04-02,345
2020-04-03,349
2020-04-04,350
2020-04-05,350
2020-04-06,350
2020-04-07,351
2020-04-08,351
2020-04-09,351
2020-04-10,351
2020-04-11,351
2020-04-12,352
2020-04-13,352
2020-04-14,353
2020-04-15,353
2020-04-16,353
2020-04-17,354
2020-04-18,355
