date,ConfirmedCases
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,4
2020-01-26,7
2020-01-27,14
2020-01-28,19
2020-01-29,24
2020-01-30,26
2020-01-31,29
2020-02-01,40
2020-02-02,51
2020-02-03,55
2020-02-04,57
2020-02-05,62
2020-02-06,62
2020-02-07,67
2020-02-08,79
2020-02-09,83
2020-02-10,83
2020-02-11,86
2020-02-12,87
2020-02-13,90
2020-02-14,90
2020-02-15,90
2020-02-16,90
2020-02-17,91
2020-02-18,91
2020-02-19,91
2020-02-20,91
2020-02-21,91
2020-02-22,91
2020-02-23,91
2020-02-24,91
2020-02-25,91
2020-02-26,91
2020-02-27,91
2020-02-28,91
2020-02-29,91
2020-03-01,91
2020-03-02,91
2020-03-03,91
2020-03-04,91
2020-03-05,102
2020-03-06,119
2020-03-07,120
2020-03-08,124
2020-03-09,124
2020-03-10,125
2020-03-11,127
2020-03-12,127
2020-03-13,127
2020-03-14,129
2020-03-15,133
2020-03-16,133
2020-03-17,133
2020-03-18,133
2020-03-19,134
2020-03-20,134
2020-03-21,134
2020-03-22,136
2020-03-23,136
2020-03-24,136
2020-03-25,136
2020-03-26,136
2020-03-27,136
2020-03-28,136
2020-03-29,138
2020-03-30,138
2020-03-31,138
2020-04-01,138
2020-04-02,138
2020-04-03,138
2020-04-04,138
2020-04-05,138
2020-04-06,139
2020-04-07,139
2020-04-08,139
2020-04-09,139
2020-04-10,139
2020-04-11,139
2020-04-12,139
2020-04-13,139
2020-04-14,139
2020-04-15,139
2020-04-16,139
2020-04-17,139
2020-04-18,139
