date,ConfirmedCases
2020-01-22,26
2020-01-23,32
2020-01-24,53
2020-01-25,78
2020-01-26,111
2020-01-27,151
2020-01-28,207
2020-01-29,277
2020-01-30,354
2020-01-31,436
2020-02-01,535
2020-02-02,632
2020-02-03,725
2020-02-04,813
2020-02-05,895
2020-02-06,970
2020-02-07,1034
2020-02-08,1095
2020-02-09,1131
2020-02-10,1159
2020-02-11,1177
2020-02-12,1219
2020-02-13,1241
2020-02-14,1261
2020-02-15,1294
2020-02-16,1316
2020-02-17,1322
2020-02-18,1328
2020-02-19,1331
2020-02-20,1332
2020-02-21,1333
2020-02-22,1339
2020-02-23,1342
2020-02-24,1345
2020-02-25,1347
2020-02-26,1347
2020-02-27,1347
2020-02-28,1348
2020-02-29,1349
2020-03-01,1349
2020-03-02,1350
2020-03-03,1350
2020-03-04,1350
2020-03-05,1351
2020-03-06,1352
2020-03-07,1352
2020-03-08,1352
2020-03-09,1352
2020-03-10,1353
2020-03-11,1356
2020-03-12,1356
2020-03-13,1356
2020-03-14,1356
2020-03-15,1360
2020-03-16,1361
2020-03-17,1364
2020-03-18,1370
2020-03-19,1378
2020-03-20,1395
2020-03-21,1400
2020-03-22,1413
2020-03-23,1415
2020-03-24,1428
2020-03-25,1433
2020-03-26,1448
2020-03-27,1456
2020-03-28,1467
2020-03-29,1475
2020-03-30,1484
2020-03-31,1494
2020-04-01,1501
2020-04-02,1507
2020-04-03,1514
2020-04-04,1516
2020-04-05,1524
2020-04-06,1532
2020-04-07,1533
2020-04-08,1536
2020-04-09,1539
2020-04-10,1544
2020-04-11,1548
2020-04-12,1552
2020-04-13,1555
2020-04-14,1564
2020-04-15,1566
2020-04-16,1571
2020-04-17,1577
2020-04-18,1579
