date,ConfirmedCases
2020-01-22,2
2020-01-23,5
2020-01-24,23
2020-01-25,23
2020-01-26,36
2020-01-27,46
2020-01-28,51
2020-01-29,58
2020-01-30,78
2020-01-31,87
2020-02-01,100
2020-02-02,111
2020-02-03,127
2020-02-04,139
2020-02-05,150
2020-02-06,168
2020-02-07,172
2020-02-08,183
2020-02-09,195
2020-02-10,210
2020-02-11,215
2020-02-12,222
2020-02-13,222
2020-02-14,226
2020-02-15,235
2020-02-16,237
2020-02-17,238
2020-02-18,242
2020-02-19,244
2020-02-20,245
2020-02-21,246
2020-02-22,249
2020-02-23,249
2020-02-24,251
2020-02-25,252
2020-02-26,252
2020-02-27,252
2020-02-28,252
2020-02-29,252
2020-03-01,252
2020-03-02,252
2020-03-03,252
2020-03-04,252
2020-03-05,252
2020-03-06,252
2020-03-07,252
2020-03-08,252
2020-03-09,252
2020-03-10,252
2020-03-11,252
2020-03-12,252
2020-03-13,252
2020-03-14,252
2020-03-15,252
2020-03-16,252
2020-03-17,253
2020-03-18,253
2020-03-19,253
2020-03-20,254
2020-03-21,254
2020-03-22,254
2020-03-23,254
2020-03-24,254
2020-03-25,254
2020-03-26,254
2020-03-27,254
2020-03-28,254
2020-03-29,254
2020-03-30,254
2020-03-31,254
2020-04-01,254
2020-04-02,254
2020-04-03,254
2020-04-04,254
2020-04-05,254
2020-04-06,254
2020-04-07,254
2020-04-08,254
2020-04-09,254
2020-04-10,254
2020-04-11,254
2020-04-12,254
2020-04-13,254
2020-04-14,254
2020-04-15,254
2020-04-16,254
2020-04-17,254
2020-04-18,254
