date,ConfirmedCases
2020-01-22,1
2020-01-23,3
2020-01-24,3
2020-01-25,4
2020-01-26,5
2020-01-27,7
2020-01-28,9
2020-01-29,9
2020-01-30,12
2020-01-31,29
2020-02-01,29
2020-02-02,38
2020-02-03,46
2020-02-04,58
2020-02-05,64
2020-02-06,71
2020-02-07,81
2020-02-08,89
2020-02-09,99
2020-02-10,109
2020-02-11,127
2020-02-12,133
2020-02-13,135
2020-02-14,140
2020-02-15,143
2020-02-16,144
2020-02-17,146
2020-02-18,146
2020-02-19,146
2020-02-20,146
2020-02-21,146
2020-02-22,146
2020-02-23,146
2020-02-24,146
2020-02-25,146
2020-02-26,146
2020-02-27,146
2020-02-28,146
2020-02-29,146
2020-03-01,146
2020-03-02,146
2020-03-03,146
2020-03-04,146
2020-03-05,146
2020-03-06,146
2020-03-07,146
2020-03-08,146
2020-03-09,146
2020-03-10,146
2020-03-11,146
2020-03-12,146
2020-03-13,146
2020-03-14,146
2020-03-15,146
2020-03-16,146
2020-03-17,147
2020-03-18,146
2020-03-19,146
2020-03-20,146
2020-03-21,146
2020-03-22,146
2020-03-23,146
2020-03-24,146
2020-03-25,146
2020-03-26,146
2020-03-27,146
2020-03-28,146
2020-03-29,146
2020-03-30,146
2020-03-31,146
2020-04-01,146
2020-04-02,146
2020-04-03,146
2020-04-04,146
2020-04-05,146
2020-04-06,146
2020-04-07,146
2020-04-08,146
2020-04-09,146
2020-04-10,146
2020-04-11,146
2020-04-12,146
2020-04-13,146
2020-04-14,146
2020-04-15,146
2020-04-16,146
2020-04-17,146
2020-04-18,146
