date,ConfirmedCases
2020-01-22,4
2020-01-23,5
2020-01-24,8
2020-01-25,19
2020-01-26,22
2020-01-27,33
2020-01-28,40
2020-01-29,43
2020-01-30,46
2020-01-31,52
2020-02-01,62
2020-02-02,64
2020-02-03,72
2020-02-04,80
2020-02-05,99
2020-02-06,106
2020-02-07,117
2020-02-08,124
2020-02-09,131
2020-02-10,138
2020-02-11,144
2020-02-12,157
2020-02-13,157
2020-02-14,159
2020-02-15,162
2020-02-16,162
2020-02-17,163
2020-02-18,163
2020-02-19,168
2020-02-20,168
2020-02-21,168
2020-02-22,168
2020-02-23,168
2020-02-24,168
2020-02-25,168
2020-02-26,168
2020-02-27,168
2020-02-28,168
2020-02-29,168
2020-03-01,168
2020-03-02,168
2020-03-03,168
2020-03-04,168
2020-03-05,168
2020-03-06,168
2020-03-07,168
2020-03-08,168
2020-03-09,168
2020-03-10,168
2020-03-11,168
2020-03-12,168
2020-03-13,168
2020-03-14,168
2020-03-15,168
2020-03-16,168
2020-03-17,168
2020-03-18,168
2020-03-19,168
2020-03-20,168
2020-03-21,168
2020-03-22,168
2020-03-23,168
2020-03-24,168
2020-03-25,168
2020-03-26,168
2020-03-27,168
2020-03-28,168
2020-03-29,168
2020-03-30,168
2020-03-31,168
2020-04-01,168
2020-04-02,168
2020-04-03,168
2020-04-04,168
2020-04-05,168
2020-04-06,168
2020-04-07,168
2020-04-08,168
2020-04-09,168
2020-04-10,168
2020-04-11,168
2020-04-12,168
2020-04-13,168
2020-04-14,168
2020-04-15,168
2020-04-16,168
2020-04-17,168
2020-04-18,168
