date,ConfirmedCases
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,8
2020-01-26,13
2020-01-27,18
2020-01-28,33
2020-01-29,48
2020-01-30,65
2020-01-31,82
2020-02-01,96
2020-02-02,104
2020-02-03,113
2020-02-04,126
2020-02-05,135
2020-02-06,157
2020-02-07,172
2020-02-08,195
2020-02-09,206
2020-02-10,218
2020-02-11,239
2020-02-12,251
2020-02-13,265
2020-02-14,283
2020-02-15,291
2020-02-16,300
2020-02-17,301
2020-02-18,306
2020-02-19,306
2020-02-20,307
2020-02-21,308
2020-02-22,309
2020-02-23,311
2020-02-24,311
2020-02-25,311
2020-02-26,312
2020-02-27,317
2020-02-28,318
2020-02-29,318
2020-03-01,318
2020-03-02,318
2020-03-03,318
2020-03-04,318
2020-03-05,318
2020-03-06,318
2020-03-07,318
2020-03-08,318
2020-03-09,318
2020-03-10,318
2020-03-11,318
2020-03-12,318
2020-03-13,318
2020-03-14,318
2020-03-15,318
2020-03-16,318
2020-03-17,318
2020-03-18,318
2020-03-19,318
2020-03-20,318
2020-03-21,318
2020-03-22,319
2020-03-23,319
2020-03-24,319
2020-03-25,319
2020-03-26,319
2020-03-27,319
2020-03-28,319
2020-03-29,319
2020-03-30,321
2020-03-31,321
2020-04-01,323
2020-04-02,325
2020-04-03,326
2020-04-04,326
2020-04-05,327
2020-04-06,327
2020-04-07,327
2020-04-08,327
2020-04-09,327
2020-04-10,327
2020-04-11,327
2020-04-12,327
2020-04-13,327
2020-04-14,327
2020-04-15,327
2020-04-16,328
2020-04-17,328
2020-04-18,328
