date,ConfirmedCases
2020-01-22,0
2020-01-23,2
2020-01-24,4
2020-01-25,9
2020-01-26,15
2020-01-27,21
2020-01-28,33
2020-01-29,38
2020-01-30,44
2020-01-31,59
2020-02-01,80
2020-02-02,95
2020-02-03,121
2020-02-04,155
2020-02-05,190
2020-02-06,227
2020-02-07,277
2020-02-08,295
2020-02-09,307
2020-02-10,331
2020-02-11,360
2020-02-12,378
2020-02-13,395
2020-02-14,419
2020-02-15,425
2020-02-16,445
2020-02-17,457
2020-02-18,464
2020-02-19,470
2020-02-20,476
2020-02-21,479
2020-02-22,479
2020-02-23,480
2020-02-24,480
2020-02-25,480
2020-02-26,480
2020-02-27,480
2020-02-28,480
2020-02-29,480
2020-03-01,480
2020-03-02,480
2020-03-03,480
2020-03-04,480
2020-03-05,481
2020-03-06,481
2020-03-07,481
2020-03-08,481
2020-03-09,481
2020-03-10,481
2020-03-11,482
2020-03-12,482
2020-03-13,482
2020-03-14,482
2020-03-15,482
2020-03-16,482
2020-03-17,482
2020-03-18,482
2020-03-19,483
2020-03-20,484
2020-03-21,484
2020-03-22,484
2020-03-23,484
2020-03-24,484
2020-03-25,484
2020-03-26,484
2020-03-27,484
2020-03-28,484
2020-03-29,484
2020-03-30,484
2020-03-31,484
2020-04-01,484
2020-04-02,488
2020-04-03,489
2020-04-04,491
2020-04-05,504
2020-04-06,524
2020-04-07,544
2020-04-08,569
2020-04-09,609
2020-04-10,638
2020-04-11,661
2020-04-12,684
2020-04-13,740
2020-04-14,819
2020-04-15,841
2020-04-16,861
2020-04-17,872
2020-04-18,892
