date,ConfirmedCases
2020-01-22,5
2020-01-23,5
2020-01-24,9
2020-01-25,32
2020-01-26,83
2020-01-27,128
2020-01-28,168
2020-01-29,206
2020-01-30,278
2020-01-31,352
2020-02-01,422
2020-02-02,493
2020-02-03,566
2020-02-04,675
2020-02-05,764
2020-02-06,851
2020-02-07,914
2020-02-08,981
2020-02-09,1033
2020-02-10,1073
2020-02-11,1105
2020-02-12,1135
2020-02-13,1169
2020-02-14,1184
2020-02-15,1212
2020-02-16,1231
2020-02-17,1246
2020-02-18,1257
2020-02-19,1262
2020-02-20,1265
2020-02-21,1267
2020-02-22,1270
2020-02-23,1271
2020-02-24,1271
2020-02-25,1271
2020-02-26,1271
2020-02-27,1272
2020-02-28,1272
2020-02-29,1272
2020-03-01,1272
2020-03-02,1272
2020-03-03,1272
2020-03-04,1272
2020-03-05,1272
2020-03-06,1272
2020-03-07,1272
2020-03-08,1272
2020-03-09,1272
2020-03-10,1272
2020-03-11,1273
2020-03-12,1273
2020-03-13,1273
2020-03-14,1273
2020-03-15,1273
2020-03-16,1273
2020-03-17,1273
2020-03-18,1273
2020-03-19,1273
2020-03-20,1273
2020-03-21,1273
2020-03-22,1274
2020-03-23,1274
2020-03-24,1274
2020-03-25,1274
2020-03-26,1275
2020-03-27,1275
2020-03-28,1275
2020-03-29,1276
2020-03-30,1276
2020-03-31,1276
2020-04-01,1276
2020-04-02,1276
2020-04-03,1276
2020-04-04,1276
2020-04-05,1276
2020-04-06,1276
2020-04-07,1276
2020-04-08,1276
2020-04-09,1276
2020-04-10,1276
2020-04-11,1276
2020-04-12,1276
2020-04-13,1276
2020-04-14,1276
2020-04-15,1276
2020-04-16,1276
2020-04-17,1276
2020-04-18,1276
