date,ConfirmedCases
2020-01-22,0
2020-01-23,2
2020-01-24,2
2020-01-25,5
2020-01-26,8
2020-01-27,8
2020-01-28,8
2020-01-29,10
2020-01-30,10
2020-01-31,12
2020-02-01,13
2020-02-02,15
2020-02-03,15
2020-02-04,17
2020-02-05,21
2020-02-06,24
2020-02-07,25
2020-02-08,26
2020-02-09,29
2020-02-10,38
2020-02-11,49
2020-02-12,50
2020-02-13,53
2020-02-14,56
2020-02-15,56
2020-02-16,57
2020-02-17,60
2020-02-18,62
2020-02-19,63
2020-02-20,68
2020-02-21,68
2020-02-22,69
2020-02-23,74
2020-02-24,79
2020-02-25,84
2020-02-26,91
2020-02-27,92
2020-02-28,94
2020-02-29,95
2020-03-01,96
2020-03-02,100
2020-03-03,100
2020-03-04,105
2020-03-05,105
2020-03-06,107
2020-03-07,108
2020-03-08,114
2020-03-09,115
2020-03-10,120
2020-03-11,126
2020-03-12,129
2020-03-13,134
2020-03-14,140
2020-03-15,145
2020-03-16,155
2020-03-17,162
2020-03-18,181
2020-03-19,208
2020-03-20,256
2020-03-21,273
2020-03-22,317
2020-03-23,356
2020-03-24,386
2020-03-25,410
2020-03-26,453
2020-03-27,519
2020-03-28,561
2020-03-29,641
2020-03-30,682
2020-03-31,714
2020-04-01,765
2020-04-02,802
2020-04-03,845
2020-04-04,862
2020-04-05,890
2020-04-06,914
2020-04-07,935
2020-04-08,960
2020-04-09,973
2020-04-10,989
2020-04-11,1000
2020-04-12,1004
2020-04-13,1009
2020-04-14,1012
2020-04-15,1017
2020-04-16,1017
2020-04-17,1021
2020-04-18,1024
