date,ConfirmedCases
2020-01-22,4
2020-01-23,9
2020-01-24,24
2020-01-25,43
2020-01-26,69
2020-01-27,100
2020-01-28,143
2020-01-29,221
2020-01-30,277
2020-01-31,332
2020-02-01,389
2020-02-02,463
2020-02-03,521
2020-02-04,593
2020-02-05,661
2020-02-06,711
2020-02-07,772
2020-02-08,803
2020-02-09,838
2020-02-10,879
2020-02-11,912
2020-02-12,946
2020-02-13,968
2020-02-14,988
2020-02-15,1001
2020-02-16,1004
2020-02-17,1006
2020-02-18,1007
2020-02-19,1008
2020-02-20,1010
2020-02-21,1011
2020-02-22,1013
2020-02-23,1016
2020-02-24,1016
2020-02-25,1016
2020-02-26,1016
2020-02-27,1017
2020-02-28,1017
2020-02-29,1018
2020-03-01,1018
2020-03-02,1018
2020-03-03,1018
2020-03-04,1018
2020-03-05,1018
2020-03-06,1018
2020-03-07,1018
2020-03-08,1018
2020-03-09,1018
2020-03-10,1018
2020-03-11,1018
2020-03-12,1018
2020-03-13,1018
2020-03-14,1018
2020-03-15,1018
2020-03-16,1018
2020-03-17,1018
2020-03-18,1018
2020-03-19,1018
2020-03-20,1018
2020-03-21,1018
2020-03-22,1018
2020-03-23,1018
2020-03-24,1018
2020-03-25,1018
2020-03-26,1018
2020-03-27,1018
2020-03-28,1018
2020-03-29,1018
2020-03-30,1018
2020-03-31,1018
2020-04-01,1018
2020-04-02,1019
2020-04-03,1019
2020-04-04,1019
2020-04-05,1019
2020-04-06,1019
2020-04-07,1019
2020-04-08,1019
2020-04-09,1019
2020-04-10,1019
2020-04-11,1019
2020-04-12,1019
2020-04-13,1019
2020-04-14,1019
2020-04-15,1019
2020-04-16,1019
2020-04-17,1019
2020-04-18,1019
