date,ConfirmedCases
2020-01-22,0
2020-01-23,0
2020-01-24,1
2020-01-25,7
2020-01-26,7
2020-01-27,11
2020-01-28,15
2020-01-29,16
2020-01-30,19
2020-01-31,20
2020-02-01,23
2020-02-02,27
2020-02-03,34
2020-02-04,35
2020-02-05,42
2020-02-06,46
2020-02-07,50
2020-02-08,52
2020-02-09,54
2020-02-10,58
2020-02-11,58
2020-02-12,60
2020-02-13,61
2020-02-14,65
2020-02-15,68
2020-02-16,70
2020-02-17,72
2020-02-18,73
2020-02-19,75
2020-02-20,75
2020-02-21,75
2020-02-22,75
2020-02-23,75
2020-02-24,75
2020-02-25,75
2020-02-26,75
2020-02-27,75
2020-02-28,75
2020-02-29,75
2020-03-01,75
2020-03-02,75
2020-03-03,75
2020-03-04,75
2020-03-05,75
2020-03-06,75
2020-03-07,75
2020-03-08,75
2020-03-09,75
2020-03-10,75
2020-03-11,75
2020-03-12,75
2020-03-13,75
2020-03-14,75
2020-03-15,75
2020-03-16,75
2020-03-17,75
2020-03-18,75
2020-03-19,75
2020-03-20,75
2020-03-21,75
2020-03-22,75
2020-03-23,75
2020-03-24,75
2020-03-25,77
2020-03-26,89
2020-03-27,92
2020-03-28,94
2020-03-29,95
2020-03-30,97
2020-03-31,107
2020-04-01,111
2020-04-02,117
2020-04-03,117
2020-04-04,117
2020-04-05,117
2020-04-06,118
2020-04-07,121
2020-04-08,124
2020-04-09,126
2020-04-10,128
2020-04-11,155
2020-04-12,189
2020-04-13,190
2020-04-14,190
2020-04-15,190
2020-04-16,193
2020-04-17,193
2020-04-18,193
