date,ConfirmedCases
2020-01-22,1
2020-01-23,5
2020-01-24,9
2020-01-25,18
2020-01-26,33
2020-01-27,47
2020-01-28,70
2020-01-29,99
2020-01-30,129
2020-01-31,168
2020-02-01,202
2020-02-02,236
2020-02-03,271
2020-02-04,308
2020-02-05,341
2020-02-06,373
2020-02-07,408
2020-02-08,439
2020-02-09,468
2020-02-10,492
2020-02-11,515
2020-02-12,543
2020-02-13,570
2020-02-14,593
2020-02-15,604
2020-02-16,617
2020-02-17,626
2020-02-18,629
2020-02-19,631
2020-02-20,631
2020-02-21,631
2020-02-22,631
2020-02-23,631
2020-02-24,631
2020-02-25,631
2020-02-26,631
2020-02-27,631
2020-02-28,631
2020-02-29,631
2020-03-01,631
2020-03-02,631
2020-03-03,631
2020-03-04,631
2020-03-05,631
2020-03-06,631
2020-03-07,631
2020-03-08,631
2020-03-09,631
2020-03-10,631
2020-03-11,631
2020-03-12,631
2020-03-13,631
2020-03-14,631
2020-03-15,631
2020-03-16,631
2020-03-17,631
2020-03-18,631
2020-03-19,631
2020-03-20,631
2020-03-21,631
2020-03-22,633
2020-03-23,633
2020-03-24,636
2020-03-25,638
2020-03-26,640
2020-03-27,641
2020-03-28,641
2020-03-29,644
2020-03-30,645
2020-03-31,646
2020-04-01,646
2020-04-02,647
2020-04-03,651
2020-04-04,651
2020-04-05,651
2020-04-06,651
2020-04-07,651
2020-04-08,651
2020-04-09,651
2020-04-10,651
2020-04-11,652
2020-04-12,653
2020-04-13,653
2020-04-14,653
2020-04-15,653
2020-04-16,653
2020-04-17,653
2020-04-18,653
