date,ConfirmedCases
2020-01-22,2
2020-01-23,7
2020-01-24,18
2020-01-25,18
2020-01-26,36
2020-01-27,72
2020-01-28,109
2020-01-29,109
2020-01-30,162
2020-01-31,240
2020-02-01,286
2020-02-02,333
2020-02-03,391
2020-02-04,476
2020-02-05,548
2020-02-06,600
2020-02-07,661
2020-02-08,698
2020-02-09,740
2020-02-10,771
2020-02-11,804
2020-02-12,844
2020-02-13,872
2020-02-14,900
2020-02-15,913
2020-02-16,925
2020-02-17,930
2020-02-18,933
2020-02-19,934
2020-02-20,934
2020-02-21,934
2020-02-22,934
2020-02-23,934
2020-02-24,934
2020-02-25,934
2020-02-26,934
2020-02-27,934
2020-02-28,935
2020-02-29,935
2020-03-01,935
2020-03-02,935
2020-03-03,935
2020-03-04,935
2020-03-05,935
2020-03-06,935
2020-03-07,935
2020-03-08,935
2020-03-09,935
2020-03-10,935
2020-03-11,935
2020-03-12,935
2020-03-13,935
2020-03-14,935
2020-03-15,935
2020-03-16,935
2020-03-17,935
2020-03-18,935
2020-03-19,935
2020-03-20,935
2020-03-21,935
2020-03-22,936
2020-03-23,936
2020-03-24,936
2020-03-25,936
2020-03-26,936
2020-03-27,936
2020-03-28,936
2020-03-29,937
2020-03-30,937
2020-03-31,937
2020-04-01,937
2020-04-02,937
2020-04-03,937
2020-04-04,937
2020-04-05,937
2020-04-06,937
2020-04-07,937
2020-04-08,937
2020-04-09,937
2020-04-10,937
2020-04-11,937
2020-04-12,937
2020-04-13,937
2020-04-14,937
2020-04-15,937
2020-04-16,937
2020-04-17,937
2020-04-18,937
