date,ConfirmedCases
2020-01-22,0
2020-01-23,1
2020-01-24,3
2020-01-25,4
2020-01-26,4
2020-01-27,6
2020-01-28,8
2020-01-29,9
2020-01-30,14
2020-01-31,14
2020-02-01,17
2020-02-02,23
2020-02-03,31
2020-02-04,42
2020-02-05,54
2020-02-06,59
2020-02-07,65
2020-02-08,69
2020-02-09,78
2020-02-10,80
2020-02-11,81
2020-02-12,83
2020-02-13,84
2020-02-14,86
2020-02-15,88
2020-02-16,89
2020-02-17,89
2020-02-18,89
2020-02-19,90
2020-02-20,91
2020-02-21,91
2020-02-22,91
2020-02-23,91
2020-02-24,93
2020-02-25,93
2020-02-26,93
2020-02-27,93
2020-02-28,93
2020-02-29,93
2020-03-01,93
2020-03-02,93
2020-03-03,93
2020-03-04,93
2020-03-05,93
2020-03-06,93
2020-03-07,93
2020-03-08,93
2020-03-09,93
2020-03-10,93
2020-03-11,93
2020-03-12,93
2020-03-13,93
2020-03-14,93
2020-03-15,93
2020-03-16,93
2020-03-17,93
2020-03-18,93
2020-03-19,93
2020-03-20,93
2020-03-21,93
2020-03-22,93
2020-03-23,93
2020-03-24,93
2020-03-25,94
2020-03-26,95
2020-03-27,95
2020-03-28,97
2020-03-29,98
2020-03-30,98
2020-03-31,98
2020-04-01,98
2020-04-02,98
2020-04-03,98
2020-04-04,98
2020-04-05,98
2020-04-06,98
2020-04-07,98
2020-04-08,98
2020-04-09,98
2020-04-10,98
2020-04-11,98
2020-04-12,99
2020-04-13,100
2020-04-14,100
2020-04-15,102
2020-04-16,102
2020-04-17,102
2020-04-18,102
