date,ConfirmedCases
2020-01-22,2
2020-01-23,3
2020-01-24,4
2020-01-25,17
2020-01-26,21
2020-01-27,27
2020-01-28,34
2020-01-29,39
2020-01-30,41
2020-01-31,48
2020-02-01,64
2020-02-02,70
2020-02-03,74
2020-02-04,81
2020-02-05,89
2020-02-06,94
2020-02-07,99
2020-02-08,105
2020-02-09,107
2020-02-10,108
2020-02-11,111
2020-02-12,116
2020-02-13,117
2020-02-14,119
2020-02-15,119
2020-02-16,121
2020-02-17,121
2020-02-18,121
2020-02-19,121
2020-02-20,121
2020-02-21,121
2020-02-22,121
2020-02-23,121
2020-02-24,121
2020-02-25,121
2020-02-26,121
2020-02-27,121
2020-02-28,121
2020-02-29,121
2020-03-01,122
2020-03-02,122
2020-03-03,125
2020-03-04,125
2020-03-05,125
2020-03-06,125
2020-03-07,125
2020-03-08,125
2020-03-09,125
2020-03-10,125
2020-03-11,125
2020-03-12,125
2020-03-13,125
2020-03-14,125
2020-03-15,125
2020-03-16,125
2020-03-17,125
2020-03-18,125
2020-03-19,125
2020-03-20,126
2020-03-21,126
2020-03-22,127
2020-03-23,127
2020-03-24,127
2020-03-25,127
2020-03-26,128
2020-03-27,128
2020-03-28,132
2020-03-29,134
2020-03-30,136
2020-03-31,139
2020-04-01,140
2020-04-02,141
2020-04-03,141
2020-04-04,141
2020-04-05,142
2020-04-06,142
2020-04-07,144
2020-04-08,144
2020-04-09,144
2020-04-10,144
2020-04-11,145
2020-04-12,145
2020-04-13,145
2020-04-14,145
2020-04-15,145
2020-04-16,145
2020-04-17,146
2020-04-18,146
