date,ConfirmedCases
2020-01-22,1
2020-01-23,2
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,6
2020-01-28,7
2020-01-29,7
2020-01-30,7
2020-01-31,7
2020-02-01,7
2020-02-02,8
2020-02-03,8
2020-02-04,10
2020-02-05,10
2020-02-06,10
2020-02-07,10
2020-02-08,10
2020-02-09,10
2020-02-10,10
2020-02-11,10
2020-02-12,10
2020-02-13,10
2020-02-14,10
2020-02-15,10
2020-02-16,10
2020-02-17,10
2020-02-18,10
2020-02-19,10
2020-02-20,10
2020-02-21,10
2020-02-22,10
2020-02-23,10
2020-02-24,10
2020-02-25,10
2020-02-26,10
2020-02-27,10
2020-02-28,10
2020-02-29,10
2020-03-01,10
2020-03-02,10
2020-03-03,10
2020-03-04,10
2020-03-05,10
2020-03-06,10
2020-03-07,10
2020-03-08,10
2020-03-09,10
2020-03-10,10
2020-03-11,10
2020-03-12,10
2020-03-13,10
2020-03-14,10
2020-03-15,10
2020-03-16,11
2020-03-17,12
2020-03-18,15
2020-03-19,17
2020-03-20,17
2020-03-21,18
2020-03-22,24
2020-03-23,24
2020-03-24,25
2020-03-25,30
2020-03-26,31
2020-03-27,33
2020-03-28,37
2020-03-29,37
2020-03-30,38
2020-03-31,41
2020-04-01,41
2020-04-02,41
2020-04-03,43
2020-04-04,43
2020-04-05,44
2020-04-06,44
2020-04-07,44
2020-04-08,45
2020-04-09,45
2020-04-10,45
2020-04-11,45
2020-04-12,45
2020-04-13,45
2020-04-14,45
2020-04-15,45
2020-04-16,45
2020-04-17,45
2020-04-18,45
