date,ConfirmedCases
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,3
2020-01-26,4
2020-01-27,7
2020-01-28,11
2020-01-29,12
2020-01-30,17
2020-01-31,21
2020-02-01,26
2020-02-02,28
2020-02-03,31
2020-02-04,34
2020-02-05,34
2020-02-06,40
2020-02-07,43
2020-02-08,45
2020-02-09,45
2020-02-10,49
2020-02-11,53
2020-02-12,58
2020-02-13,64
2020-02-14,67
2020-02-15,70
2020-02-16,70
2020-02-17,70
2020-02-18,70
2020-02-19,71
2020-02-20,71
2020-02-21,71
2020-02-22,71
2020-02-23,71
2020-02-24,71
2020-02-25,71
2020-02-26,71
2020-02-27,72
2020-02-28,72
2020-02-29,73
2020-03-01,73
2020-03-02,74
2020-03-03,74
2020-03-04,75
2020-03-05,75
2020-03-06,75
2020-03-07,75
2020-03-08,75
2020-03-09,75
2020-03-10,75
2020-03-11,75
2020-03-12,75
2020-03-13,75
2020-03-14,75
2020-03-15,75
2020-03-16,75
2020-03-17,75
2020-03-18,75
2020-03-19,75
2020-03-20,75
2020-03-21,75
2020-03-22,75
2020-03-23,75
2020-03-24,75
2020-03-25,75
2020-03-26,75
2020-03-27,75
2020-03-28,75
2020-03-29,75
2020-03-30,75
2020-03-31,75
2020-04-01,75
2020-04-02,75
2020-04-03,75
2020-04-04,75
2020-04-05,75
2020-04-06,75
2020-04-07,75
2020-04-08,75
2020-04-09,75
2020-04-10,75
2020-04-11,75
2020-04-12,75
2020-04-13,75
2020-04-14,75
2020-04-15,75
2020-04-16,75
2020-04-17,75
2020-04-18,75
