date,ConfirmedCases
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,1
2020-01-26,1
2020-01-27,6
2020-01-28,6
2020-01-29,6
2020-01-30,8
2020-01-31,8
2020-02-01,9
2020-02-02,11
2020-02-03,13
2020-02-04,15
2020-02-05,17
2020-02-06,18
2020-02-07,18
2020-02-08,18
2020-02-09,18
2020-02-10,18
2020-02-11,18
2020-02-12,18
2020-02-13,18
2020-02-14,18
2020-02-15,18
2020-02-16,18
2020-02-17,18
2020-02-18,18
2020-02-19,18
2020-02-20,18
2020-02-21,18
2020-02-22,18
2020-02-23,18
2020-02-24,18
2020-02-25,18
2020-02-26,18
2020-02-27,18
2020-02-28,18
2020-02-29,18
2020-03-01,18
2020-03-02,18
2020-03-03,18
2020-03-04,18
2020-03-05,18
2020-03-06,18
2020-03-07,18
2020-03-08,18
2020-03-09,18
2020-03-10,18
2020-03-11,18
2020-03-12,18
2020-03-13,18
2020-03-14,18
2020-03-15,18
2020-03-16,18
2020-03-17,18
2020-03-18,18
2020-03-19,18
2020-03-20,18
2020-03-21,18
2020-03-22,18
2020-03-23,18
2020-03-24,18
2020-03-25,18
2020-03-26,18
2020-03-27,18
2020-03-28,18
2020-03-29,18
2020-03-30,18
2020-03-31,18
2020-04-01,18
2020-04-02,18
2020-04-03,18
2020-04-04,18
2020-04-05,18
2020-04-06,18
2020-04-07,18
2020-04-08,18
2020-04-09,18
2020-04-10,18
2020-04-11,18
2020-04-12,18
2020-04-13,18
2020-04-14,18
2020-04-15,18
2020-04-16,18
2020-04-17,18
2020-04-18,18
