date,ConfirmedCases
2020-01-22,0
2020-01-23,3
2020-01-24,5
2020-01-25,15
2020-01-26,22
2020-01-27,35
2020-01-28,46
2020-01-29,56
2020-01-30,63
2020-01-31,87
2020-02-01,101
2020-02-02,116
2020-02-03,128
2020-02-04,142
2020-02-05,165
2020-02-06,173
2020-02-07,184
2020-02-08,195
2020-02-09,208
2020-02-10,213
2020-02-11,219
2020-02-12,225
2020-02-13,229
2020-02-14,230
2020-02-15,232
2020-02-16,236
2020-02-17,240
2020-02-18,240
2020-02-19,242
2020-02-20,245
2020-02-21,245
2020-02-22,245
2020-02-23,245
2020-02-24,245
2020-02-25,245
2020-02-26,245
2020-02-27,245
2020-02-28,245
2020-02-29,245
2020-03-01,245
2020-03-02,245
2020-03-03,245
2020-03-04,245
2020-03-05,245
2020-03-06,245
2020-03-07,245
2020-03-08,245
2020-03-09,245
2020-03-10,245
2020-03-11,245
2020-03-12,245
2020-03-13,245
2020-03-14,245
2020-03-15,245
2020-03-16,245
2020-03-17,246
2020-03-18,246
2020-03-19,246
2020-03-20,247
2020-03-21,248
2020-03-22,248
2020-03-23,248
2020-03-24,249
2020-03-25,250
2020-03-26,253
2020-03-27,253
2020-03-28,253
2020-03-29,253
2020-03-30,253
2020-03-31,253
2020-04-01,255
2020-04-02,255
2020-04-03,255
2020-04-04,256
2020-04-05,256
2020-04-06,256
2020-04-07,256
2020-04-08,256
2020-04-09,256
2020-04-10,256
2020-04-11,256
2020-04-12,256
2020-04-13,256
2020-04-14,256
2020-04-15,256
2020-04-16,256
2020-04-17,256
2020-04-18,256
