date,ConfirmedCases
2020-01-22,2
2020-01-23,6
2020-01-24,15
2020-01-25,27
2020-01-26,46
2020-01-27,75
2020-01-28,95
2020-01-29,130
2020-01-30,158
2020-01-31,184
2020-02-01,206
2020-02-02,230
2020-02-03,259
2020-02-04,275
2020-02-05,307
2020-02-06,347
2020-02-07,386
2020-02-08,416
2020-02-09,444
2020-02-10,466
2020-02-11,487
2020-02-12,497
2020-02-13,509
2020-02-14,523
2020-02-15,532
2020-02-16,537
2020-02-17,541
2020-02-18,543
2020-02-19,544
2020-02-20,546
2020-02-21,749
2020-02-22,750
2020-02-23,754
2020-02-24,755
2020-02-25,756
2020-02-26,756
2020-02-27,756
2020-02-28,756
2020-02-29,756
2020-03-01,758
2020-03-02,758
2020-03-03,758
2020-03-04,758
2020-03-05,758
2020-03-06,758
2020-03-07,758
2020-03-08,758
2020-03-09,758
2020-03-10,758
2020-03-11,760
2020-03-12,760
2020-03-13,760
2020-03-14,760
2020-03-15,760
2020-03-16,760
2020-03-17,761
2020-03-18,761
2020-03-19,761
2020-03-20,762
2020-03-21,764
2020-03-22,767
2020-03-23,768
2020-03-24,768
2020-03-25,769
2020-03-26,771
2020-03-27,772
2020-03-28,772
2020-03-29,772
2020-03-30,773
2020-03-31,774
2020-04-01,774
2020-04-02,775
2020-04-03,778
2020-04-04,778
2020-04-05,779
2020-04-06,780
2020-04-07,781
2020-04-08,783
2020-04-09,783
2020-04-10,783
2020-04-11,784
2020-04-12,784
2020-04-13,784
2020-04-14,784
2020-04-15,784
2020-04-16,784
2020-04-17,787
2020-04-18,787
