date,ConfirmedCases
2020-01-22,9
2020-01-23,16
2020-01-24,20
2020-01-25,33
2020-01-26,40
2020-01-27,53
2020-01-28,66
2020-01-29,96
2020-01-30,112
2020-01-31,135
2020-02-01,169
2020-02-02,182
2020-02-03,203
2020-02-04,219
2020-02-05,243
2020-02-06,257
2020-02-07,277
2020-02-08,286
2020-02-09,293
2020-02-10,299
2020-02-11,303
2020-02-12,311
2020-02-13,315
2020-02-14,318
2020-02-15,326
2020-02-16,328
2020-02-17,333
2020-02-18,333
2020-02-19,333
2020-02-20,334
2020-02-21,334
2020-02-22,335
2020-02-23,335
2020-02-24,335
2020-02-25,336
2020-02-26,337
2020-02-27,337
2020-02-28,337
2020-02-29,337
2020-03-01,337
2020-03-02,337
2020-03-03,338
2020-03-04,338
2020-03-05,339
2020-03-06,342
2020-03-07,342
2020-03-08,342
2020-03-09,342
2020-03-10,344
2020-03-11,344
2020-03-12,344
2020-03-13,346
2020-03-14,353
2020-03-15,353
2020-03-16,355
2020-03-17,358
2020-03-18,361
2020-03-19,363
2020-03-20,371
2020-03-21,380
2020-03-22,404
2020-03-23,404
2020-03-24,414
2020-03-25,433
2020-03-26,451
2020-03-27,468
2020-03-28,485
2020-03-29,492
2020-03-30,498
2020-03-31,509
2020-04-01,516
2020-04-02,522
2020-04-03,526
2020-04-04,529
2020-04-05,531
2020-04-06,536
2020-04-07,538
2020-04-08,543
2020-04-09,552
2020-04-10,555
2020-04-11,555
2020-04-12,607
2020-04-13,618
2020-04-14,618
2020-04-15,622
2020-04-16,628
2020-04-17,628
2020-04-18,628
