date,ConfirmedCases
2020-01-22,1
2020-01-23,1
2020-01-24,1
2020-01-25,6
2020-01-26,9
2020-01-27,13
2020-01-28,27
2020-01-29,27
2020-01-30,35
2020-01-31,39
2020-02-01,47
2020-02-02,66
2020-02-03,74
2020-02-04,81
2020-02-05,81
2020-02-06,96
2020-02-07,104
2020-02-08,115
2020-02-09,119
2020-02-10,119
2020-02-11,124
2020-02-12,126
2020-02-13,126
2020-02-14,127
2020-02-15,128
2020-02-16,129
2020-02-17,130
2020-02-18,131
2020-02-19,131
2020-02-20,132
2020-02-21,132
2020-02-22,132
2020-02-23,132
2020-02-24,133
2020-02-25,133
2020-02-26,133
2020-02-27,133
2020-02-28,133
2020-02-29,133
2020-03-01,133
2020-03-02,133
2020-03-03,133
2020-03-04,133
2020-03-05,133
2020-03-06,133
2020-03-07,133
2020-03-08,133
2020-03-09,133
2020-03-10,133
2020-03-11,133
2020-03-12,133
2020-03-13,133
2020-03-14,133
2020-03-15,133
2020-03-16,133
2020-03-17,133
2020-03-18,133
2020-03-19,133
2020-03-20,133
2020-03-21,133
2020-03-22,133
2020-03-23,134
2020-03-24,134
2020-03-25,134
2020-03-26,135
2020-03-27,135
2020-03-28,135
2020-03-29,136
2020-03-30,136
2020-03-31,136
2020-04-01,137
2020-04-02,137
2020-04-03,137
2020-04-04,137
2020-04-05,138
2020-04-06,138
2020-04-07,138
2020-04-08,163
2020-04-09,166
2020-04-10,168
2020-04-11,172
2020-04-12,172
2020-04-13,173
2020-04-14,173
2020-04-15,186
2020-04-16,194
2020-04-17,197
2020-04-18,197
