date,ConfirmedCases
2020-01-22,5
2020-01-23,8
2020-01-24,15
2020-01-25,28
2020-01-26,44
2020-01-27,69
2020-01-28,90
2020-01-29,108
2020-01-30,142
2020-01-31,177
2020-02-01,207
2020-02-02,231
2020-02-03,254
2020-02-04,282
2020-02-05,301
2020-02-06,321
2020-02-07,344
2020-02-08,364
2020-02-09,386
2020-02-10,405
2020-02-11,417
2020-02-12,436
2020-02-13,451
2020-02-14,463
2020-02-15,470
2020-02-16,481
2020-02-17,495
2020-02-18,508
2020-02-19,514
2020-02-20,520
2020-02-21,525
2020-02-22,526
2020-02-23,526
2020-02-24,527
2020-02-25,529
2020-02-26,531
2020-02-27,534
2020-02-28,538
2020-02-29,538
2020-03-01,538
2020-03-02,538
2020-03-03,538
2020-03-04,538
2020-03-05,539
2020-03-06,539
2020-03-07,539
2020-03-08,539
2020-03-09,539
2020-03-10,539
2020-03-11,539
2020-03-12,539
2020-03-13,539
2020-03-14,539
2020-03-15,539
2020-03-16,539
2020-03-17,540
2020-03-18,540
2020-03-19,540
2020-03-20,541
2020-03-21,542
2020-03-22,543
2020-03-23,543
2020-03-24,545
2020-03-25,547
2020-03-26,547
2020-03-27,548
2020-03-28,548
2020-03-29,550
2020-03-30,550
2020-03-31,550
2020-04-01,552
2020-04-02,554
2020-04-03,555
2020-04-04,557
2020-04-05,558
2020-04-06,559
2020-04-07,560
2020-04-08,560
2020-04-09,560
2020-04-10,560
2020-04-11,560
2020-04-12,560
2020-04-13,560
2020-04-14,560
2020-04-15,560
2020-04-16,560
2020-04-17,560
2020-04-18,561
