date,ConfirmedCases
2020-01-22,4
2020-01-23,4
2020-01-24,8
2020-01-25,10
2020-01-26,14
2020-01-27,23
2020-01-28,24
2020-01-29,27
2020-01-30,31
2020-01-31,32
2020-02-01,41
2020-02-02,48
2020-02-03,60
2020-02-04,67
2020-02-05,69
2020-02-06,79
2020-02-07,81
2020-02-08,88
2020-02-09,91
2020-02-10,95
2020-02-11,106
2020-02-12,112
2020-02-13,119
2020-02-14,120
2020-02-15,122
2020-02-16,124
2020-02-17,125
2020-02-18,128
2020-02-19,130
2020-02-20,131
2020-02-21,132
2020-02-22,135
2020-02-23,135
2020-02-24,135
2020-02-25,135
2020-02-26,135
2020-02-27,136
2020-02-28,136
2020-02-29,136
2020-03-01,136
2020-03-02,136
2020-03-03,136
2020-03-04,136
2020-03-05,136
2020-03-06,136
2020-03-07,136
2020-03-08,136
2020-03-09,136
2020-03-10,136
2020-03-11,136
2020-03-12,136
2020-03-13,136
2020-03-14,136
2020-03-15,136
2020-03-16,136
2020-03-17,136
2020-03-18,136
2020-03-19,137
2020-03-20,137
2020-03-21,137
2020-03-22,137
2020-03-23,141
2020-03-24,145
2020-03-25,145
2020-03-26,151
2020-03-27,155
2020-03-28,161
2020-03-29,166
2020-03-30,174
2020-03-31,174
2020-04-01,176
2020-04-02,176
2020-04-03,180
2020-04-04,180
2020-04-05,180
2020-04-06,180
2020-04-07,180
2020-04-08,180
2020-04-09,182
2020-04-10,183
2020-04-11,183
2020-04-12,183
2020-04-13,184
2020-04-14,185
2020-04-15,185
2020-04-16,186
2020-04-17,189
2020-04-18,189
