date,ConfirmedCases
2020-01-22,1
2020-01-23,2
2020-01-24,5
2020-01-25,11
2020-01-26,16
2020-01-27,26
2020-01-28,44
2020-01-29,55
2020-01-30,70
2020-01-31,83
2020-02-01,93
2020-02-02,105
2020-02-03,117
2020-02-04,122
2020-02-05,128
2020-02-06,133
2020-02-07,138
2020-02-08,138
2020-02-09,141
2020-02-10,149
2020-02-11,153
2020-02-12,154
2020-02-13,156
2020-02-14,162
2020-02-15,168
2020-02-16,171
2020-02-17,171
2020-02-18,172
2020-02-19,172
2020-02-20,174
2020-02-21,174
2020-02-22,174
2020-02-23,174
2020-02-24,174
2020-02-25,174
2020-02-26,174
2020-02-27,174
2020-02-28,174
2020-02-29,174
2020-03-01,174
2020-03-02,174
2020-03-03,174
2020-03-04,174
2020-03-05,174
2020-03-06,174
2020-03-07,174
2020-03-08,174
2020-03-09,174
2020-03-10,174
2020-03-11,174
2020-03-12,174
2020-03-13,174
2020-03-14,174
2020-03-15,174
2020-03-16,176
2020-03-17,176
2020-03-18,176
2020-03-19,176
2020-03-20,176
2020-03-21,176
2020-03-22,176
2020-03-23,176
2020-03-24,176
2020-03-25,176
2020-03-26,178
2020-03-27,180
2020-03-28,180
2020-03-29,180
2020-03-30,180
2020-03-31,182
2020-04-01,182
2020-04-02,183
2020-04-03,184
2020-04-04,184
2020-04-05,184
2020-04-06,184
2020-04-07,184
2020-04-08,184
2020-04-09,184
2020-04-10,184
2020-04-11,184
2020-04-12,184
2020-04-13,184
2020-04-14,184
2020-04-15,184
2020-04-16,184
2020-04-17,184
2020-04-18,184
