date,ConfirmedCases
2020-01-22,10
2020-01-23,27
2020-01-24,43
2020-01-25,62
2020-01-26,104
2020-01-27,128
2020-01-28,173
2020-01-29,296
2020-01-30,428
2020-01-31,538
2020-02-01,599
2020-02-02,661
2020-02-03,724
2020-02-04,829
2020-02-05,895
2020-02-06,954
2020-02-07,1006
2020-02-08,1048
2020-02-09,1075
2020-02-10,1092
2020-02-11,1117
2020-02-12,1131
2020-02-13,1145
2020-02-14,1155
2020-02-15,1162
2020-02-16,1167
2020-02-17,1171
2020-02-18,1172
2020-02-19,1174
2020-02-20,1175
2020-02-21,1203
2020-02-22,1205
2020-02-23,1205
2020-02-24,1205
2020-02-25,1205
2020-02-26,1205
2020-02-27,1205
2020-02-28,1205
2020-02-29,1205
2020-03-01,1205
2020-03-02,1206
2020-03-03,1213
2020-03-04,1213
2020-03-05,1215
2020-03-06,1215
2020-03-07,1215
2020-03-08,1215
2020-03-09,1215
2020-03-10,1215
2020-03-11,1215
2020-03-12,1215
2020-03-13,1215
2020-03-14,1227
2020-03-15,1231
2020-03-16,1231
2020-03-17,1232
2020-03-18,1232
2020-03-19,1233
2020-03-20,1234
2020-03-21,1236
2020-03-22,1238
2020-03-23,1238
2020-03-24,1240
2020-03-25,1241
2020-03-26,1243
2020-03-27,1247
2020-03-28,1251
2020-03-29,1254
2020-03-30,1255
2020-03-31,1257
2020-04-01,1257
2020-04-02,1258
2020-04-03,1260
2020-04-04,1262
2020-04-05,1263
2020-04-06,1264
2020-04-07,1265
2020-04-08,1266
2020-04-09,1267
2020-04-10,1267
2020-04-11,1267
2020-04-12,1267
2020-04-13,1267
2020-04-14,1267
2020-04-15,1268
2020-04-16,1268
2020-04-17,1268
2020-04-18,1268
